id,Ad date,Address,Air conditioning,Balcony,Bathrooms,Unnamed: 6,Condition,Floor,Floor area,Furniture,Garage,Garden,Heating,Kitchen,Lift,Monthly charges,Price,Property type,Ref.,Rental income,Rooms,Terrace,Total floors,Zone
039097d963634fd7ab4314acd426c591,1/8/2019,"Largo Sempione, 176,  Torino",,Yes,1,,excellent/refurbished,7,83m²,Unfurnished,no,Nothing,Communal,Small kitchen,Yes,88 € mensili,149,whole estate,1006.4202,,3,,8.0,"Aurora, Barriera di Milano, Rebaudengo"
3ae3f9bf32ee4d86acd6b89f119c5977,17/07/2019,"piazza CAMPANELLA 17,  Torino",,Yes,1,,buono / abitabile,2,80m²,Unfurnished,no,Nothing,Communal,Kitchenette,,100 € mensili,100,,04/2019 campanella (2474980),,3,,5.0,
6af61a85ff0642ae9126bc6bb560d33d,5/8/2019,"via Brandizzo  39,  Torino",,Yes,2,,buono / abitabile,last floor,100m²,,,,Communal,Livable,Yes,800 € mensili,159,whole estate,premiercase (2151624),Yes,>5,Yes,6.0,
bd866bb3689d456298e842b610736144,17/07/2019,"Via Governolo 6, Torino",,,1,,buono / abitabile,Ground floor,60m²,Partly Furnished,no,Owner,Autonomous,A vista,Yes,33 € mensili,129,whole estate,GOV6,,2,Yes,1.0,"Crocetta, San Secondo"
086eb1dbd91d40dfb0faaa1b1e10d5c4,18/07/2019,"via asiago,  Torino",Yes,Yes,1,,buono / abitabile,2,57m²,,,,Communal,Livable,Yes,,69,whole estate,40201183,,2,,5.0,
91af1b3cea074e15a450f89c60a664b0,4/8/2019,"VIA SAGRA DI SAN MICHELE,  Torino",,Yes,1,,nuovo / in costruzione,3,75m²,,,,Communal,,Yes,62 € mensili,169,whole estate,190602_id_5789,,3,,5.0,"Pozzo Strada, Parella"
970db223b65e4fb6b667f43bc524537f,14/07/2019,"via cigliano, 23,  Torino",,,2,,nuovo / in costruzione,4,111m²,Unfurnished,no,Shared,Communal,Livable,Yes,,385,whole estate,Cigliano_App41.2259,,4,,5.0,"Regio Parco, Vanchiglia, Vanchiglietta"
d19b0fc8c11b439f8ba501cabd123216,19/07/2019,Torino,,,1,,buono / abitabile,5,40m²,Furnished,,,Autonomous,,Yes,20 € mensili,99,whole estate,F 30_03_19,,2,,5.0,"Crocetta, San Secondo"
ef5c1af9467d4434b97593a6af59676e,11/7/2019,"via Santa Giulia,  Torino",,Yes,2,,buono / abitabile,multi-level,165m²,Furnished,no,Nothing,Communal,Kitchenette,Yes,113 € mensili,475,,LD53 (2557486),,5,,4.0,
fa28003d200747a3917fa6b776988f10,26/01/2018,Torino,,Yes,>3,,excellent/refurbished,,2500m²,Unfurnished,1 car,Owner,Communal,Livable,Yes,,Prezzosurichiesta,whole estate,Stabile TASSONI,Yes,>5,Yes,7.0,"Campidoglio, San Donato, Cit Turin"
389798d98072403391034103457af8da,30/05/2019,"Via Caltanissetta 7, Torino",Yes,Yes,1,,excellent/refurbished,raised floor,48m²,,no,Nothing,Communal,Livable,,50 € mensili,73.5,whole estate,,,2,,,"Le Vallette, Lucento, Madonna di Campagna"
ec3c6a5851a3422994c79f6e037a0385,10/7/2019,"Corso Giulio Cesare 81, Torino",,Yes,1,,buono / abitabile,4,80m²,Unfurnished,no,Nothing,Communal,Livable,,50 € mensili,65,whole estate,GIULIO65,,3,,5.0,"Aurora, Barriera di Milano, Rebaudengo"
b3725f54c0ce473bb86d36c46854b2ae,10/7/2019,"Via Osoppo 57, Torino",,Yes,1,,excellent/refurbished,1,50m²,Furnished,no,Nothing,Communal,Small kitchen,Yes,40 € mensili,124,whole estate,,,2,,6.0,"Santa Rita, Mirafiori Nord"
6902e1447a5e443e9c459ef84a554bbc,31/07/2019,"Via Luigi Salvatore Cherubini 12, Torino",,Yes,1,,buono / abitabile,1,117m²,Unfurnished,no,Nothing,Communal,Livable,,,55,whole estate,0026219393/18ESLUcherubiniTODD,,4,Yes,4.0,"Aurora, Barriera di Milano, Rebaudengo"
758170c0a10842c68ec1d46e26f81221,5/7/2019,"Via Pietro Palmieri 28, Torino",,Yes,1,,excellent/refurbished,raised floor,80m²,Unfurnished,no,Nothing,Communal,Livable,Yes,50 € mensili,209,whole estate,-2023551,,3,,4.0,"Campidoglio, San Donato, Cit Turin"
7f1c83378d374a23a191d028633c0f83,29/06/2019,"via Cardinal Massaia 21,  Torino",,Yes,1,,excellent/refurbished,4,50m²,,,,Communal,Livable,Yes,,52,whole estate,2 LOCALI - VIA CARDINAL MASSAIA 21 (2534454),,2,,5.0,
df453aa749644c82a8d808250ec75271,15/07/2019,"Via Don Giovanni Grioli 14, Torino",,Yes,2,,excellent/refurbished,2,220m²,Unfurnished,1 car,Nothing,,Livable,Yes,150 € mensili,395,whole estate,,,>5,Yes,7.0,"Santa Rita, Mirafiori Nord"
75631889c2cb4c4a854d133b9be28557,18/04/2018,"Via Vittoria Colonna,  Torino",,Yes,1,,buono / abitabile,2,85m²,Unfurnished,,Shared,Communal,Small kitchen,Yes,60 € mensili,95,whole estate,,,4,,4.0,"Aurora, Barriera di Milano, Rebaudengo"
5974d2af7f22444eab89952d9e58825f,21/06/2019,"via verolengo,  Torino",,Yes,1,,buono / abitabile,1,78m²,,,,Communal,Livable,,73 € mensili,75,whole estate,40152930,,3,,4.0,
22a27dcf8f4140d8afb4a8df97b9b07a,2/7/2019,"Via Giuseppe Francesco Medail 23, Torino",,Yes,1,,nuovo / in costruzione,last floor,120m²,Unfurnished,no,Nothing,Communal,Kitchenette,Yes,,300,whole estate,,,5,,3.0,"Campidoglio, San Donato, Cit Turin"
8458ad712f1849fbaac2b738d8cf6202,13/06/2019,"Via Paolo Gaidano 109, Torino",,Yes,2,,nuovo / in costruzione,1,85m²,Unfurnished,1 car,Shared,Autonomous,Livable,Yes,66 € mensili,163,whole estate,VIA GAIDANO 1P,,4,,7.0,"Santa Rita, Mirafiori Nord"
adcc4679b25844f188e26fce48f4eb0d,2/8/2019,"Via Valprato 78, Torino",,Yes,2,,,,114m²,,,,,Livable,,,105,whole estate,,,5,,,"Aurora, Barriera di Milano, Rebaudengo"
bf301f3f15564938be3617a6ec2b09ac,1/1/2019,Torino,,Yes,1,,nuovo / in costruzione,2,78m²,Unfurnished,,Shared,Autonomous,Kitchenette,Yes,,275,whole estate,,,3,Yes,5.0,"Cavoretto, Gran Madre"
c31d346ae93340198d038bb7a1026d0e,14/06/2019,"Corso Francia 120, Torino",,Yes,2,,excellent/refurbished,1,110m²,,no,Nothing,Communal,Livable,,90 € mensili,319,,,,4,,8.0,"Campidoglio, San Donato, Cit Turin"
76d73fa2f9d048188eee32deb2c3fd15,2/8/2019,"Via Giuseppe Piazzi 31, Torino",,Yes,2,,excellent/refurbished,1,150m²,Unfurnished,no,Nothing,Communal,Livable,Yes,240 € mensili,450,whole estate,,,5,,5.0,"Crocetta, San Secondo"
820b9be0968f40049a8ed582c74d5397,26/07/2019,"Via Colleasca 10, Torino",,Yes,1,,nuovo / in costruzione,1,62m²,Unfurnished,1 car,Shared,Autonomous,Kitchenette,Yes,50 € mensili,145,whole estate,,,2,,2.0,"Campidoglio, San Donato, Cit Turin"
e60f07534eef4f2e9ed75e5eeba2162c,25/03/2019,Torino,,Yes,1,,excellent/refurbished,2,90m²,,2+ cars,Shared,Autonomous,Livable,Yes,175 € mensili,275,whole estate,,,4,,4.0,"Madonna del Pilone, Sassi"
897eed094766480eb8e9125548c13d3f,16/07/2019,"via CERNAIA 18,  Torino",,Yes,1,,excellent/refurbished,3,55m²,Furnished,,,Communal,,Yes,160 € mensili,279,,-2494986,,2,,6.0,Centro
c05c804d01364dab86cd55b2897678cd,6/2/2019,"Via San Giovanni Battista la Salle 16, Torino",,Yes,1,,to be refurbished,1,75m²,Unfurnished,,Shared,Autonomous,Livable,,85 € mensili,64,whole estate,,,3,Yes,5.0,"Aurora, Barriera di Milano, Rebaudengo"
40e82a3470a04d258da053069abe7802,24/04/2019,"via Chiabrera 25,  Torino",Yes,,2,,nuovo / in costruzione,2,170m²,Unfurnished,2+ cars,Shared,Communal,Livable,Yes,,970,whole estate,29 (2411826),,5,Yes,6.0,
bd11257cd8144ff4ae9a4a570eb4181a,5/6/2019,"via Asinari di Bernezzo 127,  Torino",Yes,,2,,nuovo / in costruzione,1,123m²,Unfurnished,1 car,Owner,Communal,Livable,Yes,,328,whole estate,alloggio 2A (2274892),,4,Yes,8.0,
224079cc5450405c8c543a199452d80b,30/04/2019,"Via Ormea 163, Torino",,Yes,1,,buono / abitabile,6,55m²,Unfurnished,no,Shared,Communal,Small kitchen,Yes,100 € mensili,110,whole estate,10,,2,,7.0,
90c7bdcca8a04fa98320aaf7355ae284,11/7/2019,"Strada della Creusa,  Torino",,,1,,buono / abitabile,Ground floor,110m²,,parking space,Owner,Autonomous,Livable,,,280,whole estate,,,4,Yes,,"Cavoretto, Gran Madre"
be1b8e6425f54d8c90d4d90c94501dff,4/8/2019,"VIA MONFORTE,  Torino",,Yes,1,,nuovo / in costruzione,1,90m²,,,,Communal,,,54 € mensili,227,whole estate,190604_id_5811,,3,,5.0,"Borgo San Paolo, Cenisia"
a29d0ee00c304cbdb04183f6d8a4a893,19/06/2019,"Largo Vincenzo Lancia,  Torino",,Yes,1,,buono / abitabile,9,55m²,Furnished,no,Nothing,Communal,Kitchenette,Yes,40 € mensili,117,whole estate,29_03_19,,2,Yes,9.0,"Borgo San Paolo, Cenisia"
c6be9856dc2e4c46ae4dcf04f5538d85,15/05/2019,"Via Monte Rosa 59, Torino",,,1,,buono / abitabile,raised floor,40m²,,,,Autonomous,Livable,,,28,,,Yes,2,,4.0,"Aurora, Barriera di Milano, Rebaudengo"
f0d7d7acfae94c1b961facd006425dc9,16/10/2018,"via Passo Buole  174,  Torino",,Yes,1,,to be refurbished,2,75m²,Unfurnished,no,Nothing,Communal,Livable,Yes,60 € mensili,93,whole estate,TRAIANO C 13 (2035518),,3,,5.0,"Santa Rita, Mirafiori Nord"
86a95171d5f14c1ba3c0b4ffdb4b7fa4,13/07/2019,"Corso Enrico Gamba 38/C, Torino",,Yes,1,,excellent/refurbished,5,90m²,Partly Furnished,1 car,Shared,Autonomous,A vista,Yes,110 € mensili,190,whole estate,CORSO GAMBA 38,,4,Yes,6.0,
f6030d50df9f45de9941e4f5d4e720d3,11/7/2019,"corso Montegrappa,  Torino",,Yes,1,,to be refurbished,6,91m²,Unfurnished,no,Nothing,Communal,Small kitchen,Yes,75 € mensili,117,whole estate,-2449928,,4,,8.0,
c3fed93e16fd4590a00f4723b3b3759f,16/07/2019,"Via Massimo Montano, 26,  Torino",Yes,Yes,1,,excellent/refurbished,last floor,92m²,,no,,Autonomous,Kitchenette,Yes,60 € mensili,270,whole estate,76,,2,,4.0,"Campidoglio, San Donato, Cit Turin"
666fcabf36e34416b2993d0efca34dce,28/05/2019,"Via Giovanni Martina 25, Torino",,Yes,1,,excellent/refurbished,2,75m²,Unfurnished,no,Nothing,Autonomous,Livable,,66 € mensili,149,whole estate,,,3,,5.0,"Barriera di Lanzo, Falchera, Barca, Bertolla"
4f11434c2f2a4d758d37008b3f3b382b,1/8/2019,"Piazza Sofia,  Torino",,Yes,1,,excellent/refurbished,8,100m²,,no,Nothing,Communal,Livable,Yes,,129,whole estate,40165856,,4,,9.0,"Regio Parco, Vanchiglia, Vanchiglietta"
3be1bbce58124523b662bf757eea4d42,15/07/2019,"Corso Emilia 19, Torino",,,1,,excellent/refurbished,3,70m²,Unfurnished,no,Nothing,Autonomous,Livable,,,58,whole estate,,,3,Yes,5.0,"Aurora, Barriera di Milano, Rebaudengo"
3dfb999f12f1450da6d71c835de586e2,4/6/2019,"Via Gian Domenico Cassini,  Torino",,Yes,3,,buono / abitabile,1,190m²,Unfurnished,no,Shared,Communal,Livable,Yes,180 € mensili,430,whole estate,Via Cassini mq. 190,,>5,,5.0,"Crocetta, San Secondo"
c95778b79b714769ba777d7838bf9c73,24/04/2019,"via lajolo,  Torino",,,1,,buono / abitabile,raised floor,60m²,Unfurnished,no,Nothing,Communal,Livable,Yes,,49,whole estate,40163075,,2,,5.0,"Borgo Vittoria, Parco Dora"
7224ba52e5c1420c9523a6b5ed7b3c06,10/8/2019,"Piazza Solferino,  Torino",,Yes,2,,excellent/refurbished,2,370m²,Unfurnished,2+ cars,Shared,Autonomous,Livable,Yes,,1.150.000,whole estate,8788,,>5,,5.0,
2d7e567c81c44ca38251a3aee3e8f272,5/6/2019,"Via Abate Pietro Chanoux 12, Torino",,Yes,1,,buono / abitabile,3,110m²,,no,Shared,Autonomous,Livable,Yes,50 € mensili,95,whole estate,,,3,,,"Pozzo Strada, Parella"
3b410fab694d4a2691f1410c680891e4,26/07/2019,"Piazza Gran Madre di Dio 2, Torino",,Yes,1,,excellent/refurbished,last floor,100m²,Partly Furnished,no,Nothing,Communal,Small kitchen,Yes,100 € mensili,440,whole estate,Gran Madre - FRANCESCA,,3,,4.0,"Cavoretto, Gran Madre"
e51ccc1c0e7b436d8239eab7e30172f3,10/8/2019,"Corso Bolzano , 2bis,  Torino",Yes,Yes,1,,,1,180m²,,,,Communal,,Yes,,Prezzosurichiesta,whole estate,13265,,3,,6.0,
7d39fd8b620b4e84abbdd0c7c602ca79,18/07/2019,"strada Lanzo 117,  Torino",,,1,,buono / abitabile,1,55m²,Unfurnished,no,Nothing,Communal,Small kitchen,Yes,50 € mensili,35,whole estate,traversella (2519216),,2,,2.0,
869d7e87bc9045af9dd93b8339d96f55,4/7/2019,"Via Cristalliera 22, Torino",,Yes,1,,buono / abitabile,raised floor,67m²,Partly Furnished,no,Owner,Communal,Livable,,50 € mensili,95,whole estate,40167320,,2,,4.0,"Pozzo Strada, Parella"
ec2b2246926d4145884b07031aa95e66,11/7/2019,"Via Raffaele Piria 12, Torino",,Yes,1,,to be refurbished,4,40m²,Furnished,no,Nothing,Communal,Kitchenette,,48 € mensili,50,whole estate,42,,2,,5.0,"Campidoglio, San Donato, Cit Turin"
6deba1685d7349bdae4f03696ebebe26,31/05/2019,"Via Cesare Balbo 5, Torino",,,1,,excellent/refurbished,Ground floor,72m²,Unfurnished,no,Nothing,Autonomous,A vista,,75 € mensili,165,whole estate,,,2,,4.0,"Regio Parco, Vanchiglia, Vanchiglietta"
31ab7a10cc9547cf840bdde6a8ad0e10,19/07/2019,"via exilles,  Torino",,Yes,1,,buono / abitabile,last floor,54m²,Unfurnished,no,Nothing,Communal,Livable,,43 € mensili,57,whole estate,1686976,Yes,2,,4.0,"Pozzo Strada, Parella"
f9294ee982bb4809be9e08569d6ee910,8/8/2019,"via rio de janeiro,  Torino",,Yes,2,,nuovo / in costruzione,4,196m²,Partly Furnished,2+ cars,Nothing,Autonomous,Livable,Yes,,350,whole estate,to379,,5,Yes,5.0,"Borgo San Paolo, Cenisia"
149dce19e9a745c4a872c72e64aa0a57,31/07/2019,"Via Gradisca 1, Torino",,Yes,1,,nuovo / in costruzione,3,58m²,Furnished,1 car,Shared,Autonomous,A vista,Yes,70 € mensili,129,whole estate,GR129,,2,,5.0,"Santa Rita, Mirafiori Nord"
3ade65267017499383f18e51afbb2965,29/07/2019,"Corso Racconigi 37, Torino",,Yes,1,,buono / abitabile,2,70m²,Unfurnished,no,Nothing,Communal,Livable,Yes,,97,whole estate,,,3,,5.0,"Borgo San Paolo, Cenisia"
4f58d3cb1bc74265a267fe549a19f48c,16/07/2019,"Via Monte Nero 4, Torino",,Yes,1,,buono / abitabile,1,75m²,Partly Furnished,no,Nothing,Autonomous,Livable,,60 € mensili,69,whole estate,montenero89 (1997224),,3,Yes,6.0,"Aurora, Barriera di Milano, Rebaudengo"
b2c4ab46f61b4d939de12df7e88358e6,31/07/2019,"Via Francesco Cigna 129/3, Torino",,Yes,1,,excellent/refurbished,5,75m²,Furnished,1 car,Shared,Autonomous,A vista,Yes,67 € mensili,159,whole estate,Via f. cigna,,3,Yes,10.0,"Aurora, Barriera di Milano, Rebaudengo"
10ab2d0ec5144425ac2ef1deb1160b3d,3/7/2019,"Via Leinì,  Torino",,Yes,1,,buono / abitabile,raised floor,42m²,,,,Communal,Livable,Yes,,45,whole estate,40194577,,2,,6.0,
d240deb46cdd499c92f2035a4145a684,7/8/2019,"Corso Cosenza,  Torino",,Yes,1,,excellent/refurbished,8,97m²,Unfurnished,no,Nothing,Communal,Livable,Yes,800 € mensili,210,,,,2,,10.0,"Santa Rita, Mirafiori Nord"
b51c6a67337942339845f69294398514,20/03/2019,"Viale Enrico Thovez 40/39, Torino",,,2,,nuovo / in costruzione,Ground floor,120m²,Unfurnished,1 car,Owner,Autonomous,Livable,Yes,,425,whole estate,,,4,,2.0,
0f4b0c535bff40e98c81e0822333cd3a,2/8/2019,"piazza giacomini,  Torino",,Yes,1,,buono / abitabile,,65m²,,,,Autonomous,Livable,,,79,whole estate,40186308,,3,,,"Lingotto, Nizza Millefonti"
58fdf0ee45264f788a7268e92b846074,16/07/2019,"via barge, 5,  Torino",,Yes,1,,excellent/refurbished,last floor,90m²,Unfurnished,no,Nothing,Communal,Livable,,67 € mensili,139,whole estate,40129977,,4,,4.0,"Borgo San Paolo, Cenisia"
0848a2e281d44f748813fccf64000df8,16/05/2018,"Via Emilio De Marchi,  Torino",,Yes,1,,excellent/refurbished,2,100m²,,1 car,,Autonomous,Livable,Yes,,219,,codice 56,,3,Yes,4.0,"Borgo Vittoria, Parco Dora"
ad22052dd785491c8dcf6d1a3dc47209,16/05/2019,"via SANSOVINO,  Torino",,Yes,1,,buono / abitabile,9,90m²,Unfurnished,1 car,Nothing,Communal,Livable,Yes,,140,whole estate,TORINO (2510734),,3,,10.0,
2601aa45c3054b23b9978646fdcabbe8,30/07/2019,"Via Bassano,  Torino",,Yes,2,,nuovo / in costruzione,,132m²,Unfurnished,no,Nothing,Autonomous,A vista,,,250,whole estate,,,3,,3.0,"Santa Rita, Mirafiori Nord"
0a9d91b1ba8648d3918524d17d344c91,22/07/2019,"Via Gioele Solari 29, Torino",,Yes,1,,excellent/refurbished,last floor,60m²,Furnished,no,Nothing,Communal,A vista,Yes,50 € mensili,65,whole estate,183/19/V,,2,Yes,5.0,"Le Vallette, Lucento, Madonna di Campagna"
8811974284374b67b7cd4352ee6f378c,15/07/2019,"Piazza Derna 231, Torino",Yes,Yes,>3,,excellent/refurbished,,650m²,,1 car,,Autonomous,Livable,Yes,150 € mensili,Prezzosurichiesta,whole estate,,,2,Yes,,"Aurora, Barriera di Milano, Rebaudengo"
0d47dd87bee44bec9fe0dfc0d304ccd2,4/8/2019,"VIA PRAGELATO,  Torino",,Yes,1,,nuovo / in costruzione,1,70m²,,,,Communal,,,66 € mensili,137,whole estate,181125_id_4353,,3,,5.0,"Borgo San Paolo, Cenisia"
87593fead0f94d93abdbac8d5ed6f430,7/8/2019,Torino,,Yes,1,,buono / abitabile,2,55m²,Unfurnished,no,Nothing,Communal,Livable,,50 € mensili,59,whole estate,2MDPG,,2,,5.0,"Le Vallette, Lucento, Madonna di Campagna"
7a02996e74ca46f4a856a4b4034b8a9b,13/07/2019,"Corso Cairoli,  Torino",,Yes,3,,excellent/refurbished,2,240m²,Partly Furnished,1 car,Nothing,Communal,Livable,Yes,220 € mensili,828,whole estate,1676,,>5,,5.0,
c987258a6f7b441a900a2dceb317c87c,16/04/2019,"Via Borgomanero 39, Torino",,Yes,1,,excellent/refurbished,2,70m²,Unfurnished,no,Nothing,Autonomous,Livable,,70 € mensili,105,whole estate,V 70,,3,,2.0,"Pozzo Strada, Parella"
df3ca34c43094b7b9be756b2dee99621,7/6/2019,"Via Monte Novegno 39, Torino",,Yes,1,,buono / abitabile,5,85m²,Unfurnished,no,Nothing,Communal,Livable,Yes,70 € mensili,139,whole estate,40178968,,3,,7.0,"Santa Rita, Mirafiori Nord"
966458d3bbe6425aad53fee5cb89f7d0,21/06/2019,"Via Barbania,  Torino",,Yes,1,,buono / abitabile,3,50m²,Furnished,no,Nothing,Autonomous,Kitchenette,,40 € mensili,46,whole estate,,,2,,3.0,"Aurora, Barriera di Milano, Rebaudengo"
b48b7d62f6434b29be11a942eb4eaa44,10/8/2019,"Corso Casale, 71,  Torino",Yes,,1,,excellent/refurbished,1,66m²,,no,,Autonomous,Livable,Yes,,264,whole estate,8813,,3,,3.0,"Madonna del Pilone, Sassi"
c01c214e18b942eeb05f8c7cb30e9ae5,5/1/2019,"Corso Giulio Cesare 361, Torino",,Yes,1,,buono / abitabile,3,90m²,Unfurnished,1 car,Shared,Communal,Livable,Yes,50 € mensili,120,whole estate,,,4,,9.0,"Barriera di Lanzo, Falchera, Barca, Bertolla"
ddb064eabd1c4cb79180148974a8b653,19/06/2019,"piazza Emanuele Filiberto 7,  Torino",,Yes,1,,excellent/refurbished,last floor,50m²,Partly Furnished,no,Shared,Autonomous,A vista,Yes,50 € mensili,200,whole estate,emanuele filiberto (2546171),,2,,4.0,
